method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption,variant
w/o SemanticReuse,0,10000,0.6374,0.4484,1890,4484,0,3626,9834524,10578172,51.821533030227855,43.61384000000065,1.8,121.2,22.92850159490623,73.47445965000004,142.0234899999995,48.26598075431022,1112.628190231023,11310.721179867896,0.39185864483051536,0.57014,303,0.606,w/o SemanticReuse
w/o SemanticReuse,1,10000,0.6268,0.4315,1953,4315,0,3732,9513619,10899077,53.393618363786935,45.37566000000112,1.8,121.2,22.038246936793325,73.44127724999987,142.02349000000012,48.2893447766987,1127.3170732013202,11316.196823432383,0.399003074121427,0.562075,303,0.606,w/o SemanticReuse
w/o SemanticReuse,2,10000,0.6172,0.4415,1757,4415,0,3828,10077451,10335245,50.631455051307285,45.26984000000097,1.8,121.2,22.089762190455687,73.00158810000025,142.02348999999953,48.598933810174294,1042.306080718954,11277.088545751516,0.3863362806585242,0.550975,306,0.612,w/o SemanticReuse
w/o SemanticReuse,3,10000,0.62,0.4348,1852,4348,0,3800,9845516,10567180,51.7676841902706,45.50822000000106,1.8,121.2,21.97405216024658,73.66967794999984,142.02348999999995,48.1285258163985,1077.5742763157896,11241.403297697387,0.3916109157784047,0.5547799999999999,304,0.608,w/o SemanticReuse
w/o SemanticReuse,4,10000,0.6227,0.4287,1940,4287,0,3773,9802480,10610216,51.97851376417893,44.651520000001184,1.8,121.2,22.395654168099394,72.85078750000002,142.0234899999999,48.70511385123681,1083.1117218360657,11338.787295081946,0.39257967734455484,0.558395,305,0.61,w/o SemanticReuse
w/o BusinessImportance,0,10000,0.6445,0.4694,1751,4694,0,3555,9906833,10505863,51.46729760733222,42.13606000000009,1.8,121.2,23.73264135279848,73.46882229999997,142.0234899999995,48.269950062485975,1074.7664608730156,10880.69328571421,0.39022528988515875,0.57409,315,0.63,w/o BusinessImportance
w/o BusinessImportance,1,10000,0.6508,0.4634,1874,4634,0,3492,9325637,11087059,54.31452562660023,42.4921200000003,1.8,121.2,23.53377520349639,74.15813634999975,142.02349000000012,47.7845979210906,1160.0414786495178,10909.828561093307,0.403110753535681,0.58129,311,0.622,w/o BusinessImportance
w/o BusinessImportance,2,10000,0.6329,0.4666,1663,4666,0,3671,9964725,10447971,51.183689797761154,44.46592000000041,1.8,121.2,22.489133250813,73.79407735,142.02348999999953,48.040935094609885,1073.4611762824675,11075.20335227265,0.3889112561458981,0.56291,308,0.616,w/o BusinessImportance
w/o BusinessImportance,3,10000,0.6443,0.4713,1730,4713,0,3557,9610346,10802350,52.919761309334156,42.62888000000006,1.8,121.2,23.458275235004972,74.41378584999985,142.02348999999995,47.604592838832595,1101.2585609177213,10696.737998417737,0.3968673404963326,0.5736049999999999,316,0.632,w/o BusinessImportance
w/o BusinessImportance,4,10000,0.638,0.4551,1829,4551,0,3620,9633550,10779146,52.80608695686253,43.86324000000059,1.8,121.2,22.798133471216136,73.77864524999987,142.0234899999999,48.05180097320526,1105.6423067524117,10970.839991961418,0.3963527364349571,0.569735,311,0.622,w/o BusinessImportance
w/o InfluenceRank,0,10000,0.6639,0.4757,1882,4757,0,3361,9643673,10769023,52.75649527137425,40.94885999999996,1.8,121.2,24.420704263806147,74.41697905,142.0234899999995,47.60234447836745,1015.5617002414774,9602.19757812493,0.3961279595411091,0.592545,352,0.704,w/o InfluenceRank
w/o InfluenceRank,1,10000,0.6657,0.4723,1934,4723,0,3343,9145184,11267512,55.19854898147701,41.02316000000022,1.8,121.2,24.376474167275138,74.45875054999965,142.02349000000012,47.57293279442747,1062.4338156373938,9569.076409348509,0.40700143587280646,0.5948549999999999,353,0.706,w/o InfluenceRank
w/o InfluenceRank,2,10000,0.6692,0.4908,1784,4908,0,3308,9544746,10867950,53.24112993207757,39.7242599999998,1.8,121.2,25.173533754939804,74.40288075000029,142.02348999999953,47.61227121654274,1021.4651882022473,9496.276580056072,0.39831744191650653,0.59558,356,0.712,w/o InfluenceRank
w/o InfluenceRank,3,10000,0.6618,0.4739,1879,4739,0,3382,9318682,11094014,54.34859755908774,41.13852000000007,1.8,121.2,24.30811803633184,74.9419520499998,142.02348999999995,47.23270632907287,1060.9853273410406,9692.863865606958,0.40326165348919213,0.590715,346,0.692,w/o InfluenceRank
