method,run_id,total_requests,cache_hit_ratio,semantic_hit_ratio,exact_hits,semantic_hits,prompt_hits,cache_misses,total_tokens_consumed,total_tokens_saved,token_reduction_pct,avg_latency_ms,median_latency_ms,p95_latency_ms,throughput_rps,total_inference_cost,total_baseline_cost,cost_reduction_pct,cache_efficiency_index,roi,context_efficiency,retrieval_efficiency,cache_entries,memory_consumption
Baseline-A (LRU),0,100000,0.26605,0.0,26605,0,0,73395,146166562,46649624,24.193831943133652,257.235710000337,350.3,350.3,3.887485139597025,1215.4165071000248,1341.2852200000573,9.384186974044725,124.11132465200001,7.391247526668834,0.2312301960459754,0.26605,1500,1.0
Baseline-A (LRU),1,100000,0.26496,0.0,26496,0,0,73504,146671467,46144719,23.931973740005414,257.61699200033786,350.3,350.3,3.881731528014614,1216.7814329000253,1341.2852200000566,9.28242444213514,122.26504746239998,7.300252473335422,0.2293013807023593,0.26496,1500,1.0
Baseline-A (LRU),2,100000,0.26657,0.0,26657,0,0,73343,146383409,46432777,24.0813688742915,257.0538140003366,350.3,350.3,3.890235995481827,1216.0104300000394,1341.2852200000639,9.339906839502678,123.77585364889998,7.3516526666683,0.23040299097298053,0.26657,1500,1.0
Baseline-A (LRU),3,100000,0.26662,0.0,26662,0,0,73338,146239264,46576922,24.156126602358995,257.0363240003366,350.3,350.3,3.8905007060351924,1215.616892500049,1341.285220000083,9.369247168773406,124.18338943640002,7.3778885000022605,0.2309530583465894,0.26662,1500,1.0
Baseline-A (LRU),4,100000,0.26568,0.0,26568,0,0,73432,146616921,46199265,23.96026285884526,257.3651360003373,350.3,350.3,3.8855301675308866,1216.5348053000362,1341.2852200000502,9.30081185118922,122.74220725200001,7.316694313334271,0.22951022107243169,0.26568,1500,1.0
Baseline-A (LRU),5,100000,0.26635,0.0,26635,0,0,73365,146132315,46683871,24.211593418822215,257.1307700003368,350.3,350.3,3.889071696859501,1215.3141788000564,1341.2852200000768,9.39181609710224,124.34249040849998,7.398069413334694,0.2313606753205036,0.26635,1500,1.0
Baseline-A (LRU),6,100000,0.26583,0.0,26583,0,0,73417,146745557,46070629,23.893548542651914,257.3126660003372,350.3,350.3,3.8863224867394965,1216.9364938000538,1341.2852200000746,9.27086382119486,122.46955307070002,7.2899150800013865,0.22901753079165024,0.26583,1500,1.0
Baseline-A (LRU),7,100000,0.26546,0.0,26546,0,0,73454,146593472,46222714,23.972424182272746,257.4420920003375,350.3,350.3,3.8843686835744373,1216.575645800038,1341.285220000054,9.297766973083549,122.7028165844,7.313971613334403,0.22959996551930895,0.26546,1500,1.0
Baseline-A (LRU),8,100000,0.26533,0.0,26533,0,0,73467,146447753,46368433,24.047998231849686,257.48756600033755,350.3,350.3,3.883682678481993,1216.2263365000497,1341.2852200000632,9.323809853060755,123.02936327890001,7.337258900000901,0.23015719567829895,0.26533,1500,1.0
Baseline-A (LRU),9,100000,0.26604,0.0,26604,0,0,73396,146050909,46765277,24.25381290344577,257.23920800033704,350.3,350.3,3.887432276648472,1215.0920935000183,1341.2852200000666,9.408373746192627,124.41434293079999,7.412875100003218,0.23167065021573208,0.26604,1500,1.0
Baseline-A (LRU),10,100000,0.26558,0.0,26558,0,0,73442,146287437,46528749,24.13114270396366,257.4001160003374,350.3,350.3,3.8850021341819803,1215.7812330000456,1341.2852200000727,9.356994703931823,123.57105159419999,7.366932466668474,0.23076931432134545,0.26558,1500,1.0
Baseline-A (LRU),11,100000,0.26744,0.0,26744,0,0,73256,145902511,46913675,24.330776359200467,256.749488000336,350.3,350.3,3.8948471048117197,1214.5854832000475,1341.2852200000689,9.446144258565292,125.46593242,7.446649120001424,0.23223507207326835,0.26744,1500,1.0
Baseline-A (LRU),12,100000,0.2657,0.0,26570,0,0,73430,146238946,46577240,24.156291526272593,257.3581400003373,350.3,350.3,3.8856357914254795,1215.5652277000556,1341.285220000074,9.373099056441667,123.75572668,7.381332820001232,0.2309542709875036,0.2657,1500,1.0
Baseline-A (LRU),13,100000,0.26625,0.0,26625,0,0,73375,146118889,46697297,24.218556527199432,257.16575000033686,350.3,350.3,3.888542700568369,1215.2510646000476,1341.2852200000655,9.39652159888944,124.33155326249998,7.402277026667859,0.23141181559202725,0.26625,1500,1.0
Baseline-A (LRU),14,100000,0.26511,0.0,26511,0,0,73489,146633220,46182966,23.95180973033042,257.5645220003377,350.3,350.3,3.882522298621115,1216.6978082000426,1341.2852200000525,9.288659111594852,122.4356611626,7.305827453333995,0.2294478289193041,0.26511,1500,1.0
Baseline-A (LRU),15,100000,0.26685,0.0,26685,0,0,73315,146010430,46805756,24.27480647293791,256.95587000033646,350.3,350.3,3.8917188387200126,1215.0286791000292,1341.2852200000668,9.413101629497666,124.901159886,7.417102726669175,0.2318246916752922,0.26685,1500,1.0
Baseline-A (LRU),16,100000,0.26653,0.0,26653,0,0,73347,146488879,46327307,24.026669109615103,257.06780600033665,350.3,350.3,3.8900242529735145,1216.235625600034,1341.2852200000596,9.323117300884004,123.4761713471,7.336639626668375,0.23000001131945844,0.26653,1500,1.0
Baseline-A (LRU),17,100000,0.26652,0.0,26652,0,0,73348,146143649,46672537,24.205715281599854,257.0713040003367,350.3,350.3,3.8899713209479434,1215.297939500056,1341.2852200000711,9.393026823930002,124.39164561239998,7.399152033334349,0.23131749827849563,0.26652,1500,1.0
Baseline-A (LRU),18,100000,0.2663,0.0,26630,0,0,73370,146236225,46579961,24.157702714854032,257.14826000033685,350.3,350.3,3.8888071807240308,1215.578656900035,1341.2852200000568,9.372097837625956,124.04243614299999,7.3804375400014575,0.23096464691897117,0.2663,1500,1.0
Baseline-A (LRU),19,100000,0.26568,0.0,26568,0,0,73432,146563163,46253023,23.988143298301733,257.3651360003373,350.3,350.3,3.8855301675308866,1216.4247725000575,1341.2852200000814,9.309015386005392,122.88503150640001,7.324029833334922,0.22971593371462196,0.26568,1500,1.0
Baseline-A (LRU),20,100000,0.26597,0.0,26597,0,0,73403,146422761,46393425,24.060959799298175,257.26369400033707,350.3,350.3,3.887062276259975,1216.152274500056,1341.2852200000702,9.329331571998368,123.3925924725,7.342196366667622,0.2302526842359209,0.26597,1500,1.0
Baseline-A (LRU),21,100000,0.26704,0.0,26704,0,0,73296,146374623,46441563,24.085925545690444,256.8894080003363,350.3,350.3,3.8927256977395146,1215.9315572000316,1341.2852200000643,9.345787229358022,124.0175498352,7.356910853335512,0.23043654148025786,0.26704,1500,1.0
Baseline-A (LRU),22,100000,0.2656,0.0,26560,0,0,73440,146322694,46493492,24.112857413329397,257.3931200003374,350.3,350.3,3.885107729370114,1215.8931392000563,1341.285220000081,9.348651497107904,123.486714752,7.359472053334972,0.2306347795362837,0.2656,1500,1.0
Baseline-A (LRU),23,100000,0.26613,0.0,26613,0,0,73387,146278368,46537818,24.135846147273135,257.20772600033695,350.3,350.3,3.8879080949484774,1215.669378100041,1341.2852200000525,9.365334086064598,123.85109504339998,7.374389460000763,0.23080391249324425,0.26613,1500,1.0
Baseline-A (LRU),24,100000,0.26444,0.0,26444,0,0,73556,146643236,46172950,23.946615145680767,257.79888800033825,350.3,350.3,3.8789926820735086,1216.7092709000299,1341.2852200000525,9.287804505891577,122.09974898,7.3050632733348415,0.22940948291579177,0.26444,1500,1.0
Baseline-A (LRU),25,100000,0.26593,0.0,26593,0,0,73407,146496477,46319709,24.022728569063183,257.2776860003371,350.3,350.3,3.8868508790874685,1216.2512379000523,1341.2852200000827,9.321953320265674,123.1780021437,7.335598806668698,0.2299709645931559,0.26593,1500,1.0
Baseline-A (LRU),26,100000,0.26566,0.0,26566,0,0,73434,146540960,46275226,23.999658410419965,257.37213200033733,350.3,350.3,3.8854245493785213,1216.4533751000665,1341.2852200000755,9.306882908916414,122.9347653916,7.32212299333393,0.229800864606198,0.26566,1500,1.0
Baseline-A (LRU),27,100000,0.26727,0.0,26727,0,0,73273,145969802,46846384,24.295877318100256,256.80895400033614,350.3,350.3,3.8939452243502815,1214.8400376000313,1341.2852200000634,9.427165864097578,125.20633051680001,7.429678826668805,0.23197923805314116,0.26727,1500,1.0
Baseline-A (LRU),28,100000,0.26532,0.0,26532,0,0,73468,146711482,46104704,23.911220814211106,257.4910640003376,350.3,350.3,3.8836299188957057,1216.8612728000369,1341.2852200000639,9.276471949793129,122.3250006528,7.294929813335132,0.22914810319445542,0.26532,1500,1.0
Baseline-A (LRU),29,100000,0.26513,0.0,26513,0,0,73487,146273208,46542978,24.138522271154145,257.5575260003377,350.3,350.3,3.8826277590455223,1215.7330547000624,1341.285220000078,9.360586654343976,123.39939757139999,7.370144353334369,0.23082359646820835,0.26513,1500,1.0
Baseline-B (LFU),0,100000,0.36658,0.0,36658,0,0,63342,127871984,64944202,33.68192440026793,222.106974000333,350.3,350.3,4.502334987457443,1165.9740250000089,1341.2852200000573,13.070388936369623,238.0724556916,10.687413000003229,0.29514731003926425,0.36658,1500,1.0
Baseline-B (LFU),1,100000,0.36674,0.0,36674,0,0,63326,128335598,64480588,33.441480893103034,222.05102200032997,350.3,350.3,4.503469477382158,1167.304817300026,1341.2852200000566,12.971171239777277,236.4761084312,10.59869351333538,0.29365908244806604,0.36674,1500,1.0
